iter	Passed	Remaining
0	155	155297
1	156	78045
2	156	52174
3	158	39494
4	160	31924
5	161	26794
6	162	23102
7	164	20439
8	166	18319
9	167	16629
10	169	15250
11	170	14077
12	172	13064
13	173	12206
14	175	11499
15	176	10836
16	177	10247
17	178	9720
18	179	9258
19	180	8859
20	182	8485
21	182	8128
22	183	7797
23	184	7490
24	184	7204
25	185	6942
26	185	6700
27	186	6476
28	187	6269
29	187	6071
30	188	5883
31	188	5709
32	189	5547
33	189	5396
34	190	5252
35	191	5122
36	191	4992
37	192	4875
38	193	4763
39	194	4656
40	194	4558
41	195	4462
42	196	4370
43	197	4280
44	197	4194
45	198	4112
46	198	4032
47	199	3956
48	200	3886
49	201	3819
50	201	3753
51	202	3688
52	202	3625
53	203	3563
54	203	3504
55	204	3446
56	204	3390
57	205	3336
58	206	3286
59	206	3238
60	207	3192
61	208	3147
62	208	3101
63	209	3058
64	209	3015
65	210	2974
66	210	2934
67	211	2895
68	211	2858
69	212	2821
70	212	2786
71	213	2751
72	214	2717
73	214	2684
74	215	2651
75	215	2621
76	216	2590
77	216	2560
78	217	2532
79	217	2505
80	218	2478
81	218	2451
82	219	2422
83	219	2397
84	220	2371
85	220	2346
86	221	2323
87	221	2300
88	222	2279
89	223	2258
90	224	2237
91	224	2217
92	225	2198
93	226	2179
94	227	2170
95	228	2154
96	229	2140
97	230	2123
98	231	2106
99	232	2090
100	232	2073
101	233	2058
102	234	2044
103	235	2028
104	236	2011
105	236	1995
106	237	1980
107	237	1964
108	238	1949
109	239	1934
110	239	1920
111	240	1906
112	241	1893
113	242	1880
114	242	1868
115	243	1855
116	243	1841
117	244	1830
118	245	1818
119	246	1805
120	246	1792
121	247	1779
122	248	1769
123	248	1757
124	249	1745
125	250	1735
126	250	1724
127	251	1713
128	252	1702
129	252	1691
130	253	1680
131	253	1670
132	254	1659
133	255	1651
134	256	1642
135	256	1632
136	257	1622
137	258	1612
138	258	1603
139	259	1593
140	260	1584
141	260	1574
142	261	1566
143	262	1558
144	262	1549
145	263	1541
146	264	1533
147	264	1524
148	265	1516
149	266	1508
150	266	1501
151	267	1493
152	268	1486
153	269	1478
154	269	1470
155	270	1464
156	271	1458
157	272	1450
158	273	1444
159	273	1436
160	274	1428
161	274	1422
162	275	1414
163	276	1407
164	276	1400
165	277	1394
166	278	1387
167	278	1380
168	279	1373
169	280	1367
170	280	1360
171	281	1354
172	282	1348
173	282	1342
174	283	1336
175	284	1331
176	285	1325
177	285	1319
178	286	1313
179	287	1307
180	287	1301
181	288	1295
182	288	1290
183	289	1285
184	290	1279
185	291	1274
186	291	1269
187	292	1263
188	293	1259
189	294	1254
190	295	1250
191	295	1244
192	296	1239
193	297	1234
194	297	1230
195	298	1226
196	300	1222
197	300	1218
198	301	1213
199	302	1209
200	303	1204
201	303	1200
202	304	1196
203	305	1192
204	306	1187
205	307	1183
206	307	1179
207	308	1174
208	309	1170
209	309	1165
210	310	1161
211	311	1156
212	311	1152
213	312	1148
214	313	1144
215	314	1140
216	314	1135
217	315	1131
218	316	1127
219	316	1123
220	317	1118
221	317	1114
222	318	1110
223	319	1106
224	319	1101
225	320	1098
226	321	1096
227	323	1094
228	324	1091
229	324	1087
230	325	1083
231	326	1079
232	326	1076
233	327	1073
234	328	1069
235	329	1066
236	330	1062
237	330	1058
238	331	1054
239	332	1051
240	333	1048
241	333	1045
242	334	1041
243	335	1038
244	336	1035
245	336	1031
246	337	1028
247	338	1025
248	338	1021
249	339	1018
250	340	1014
251	340	1011
252	341	1007
253	341	1004
254	342	1000
255	343	997
256	344	994
257	344	991
258	345	988
259	346	985
260	346	982
261	347	979
262	348	975
263	348	972
264	349	969
265	350	966
266	350	963
267	351	960
268	352	957
269	353	954
270	353	951
271	354	948
272	355	945
273	355	942
274	356	939
275	356	936
276	357	933
277	358	930
278	358	927
279	359	924
280	360	921
281	360	918
282	361	916
283	362	913
284	362	910
285	363	907
286	364	904
287	364	901
288	365	899
289	366	896
290	367	894
291	367	891
292	368	888
293	369	886
294	370	884
295	371	882
296	371	879
297	372	877
298	373	874
299	373	871
300	374	869
301	375	866
302	375	864
303	376	861
304	377	859
305	377	856
306	378	854
307	379	851
308	379	849
309	380	846
310	380	844
311	381	841
312	382	839
313	383	837
314	384	835
315	384	832
316	385	830
317	386	828
318	386	825
319	387	824
320	388	821
321	389	819
322	389	816
323	390	814
324	390	811
325	391	809
326	392	806
327	392	804
328	393	802
329	393	799
330	394	797
331	394	794
332	395	792
333	396	790
334	396	787
335	397	785
336	398	783
337	398	780
338	399	778
339	399	776
340	400	773
341	400	771
342	401	769
343	402	766
344	402	764
345	403	762
346	404	760
347	404	758
348	405	756
349	406	754
350	406	752
351	407	750
352	408	747
353	408	745
354	409	743
355	409	741
356	410	739
357	411	737
358	411	735
359	412	733
360	413	731
361	413	729
362	414	727
363	414	725
364	415	722
365	416	720
366	416	718
367	417	716
368	417	714
369	418	712
370	419	710
371	419	708
372	420	706
373	421	704
374	421	702
375	422	701
376	423	699
377	423	697
378	424	695
379	424	693
380	425	691
381	426	689
382	427	688
383	427	686
384	428	684
385	429	682
386	429	680
387	430	679
388	431	677
389	431	675
390	432	673
391	433	672
392	433	670
393	434	668
394	435	666
395	435	664
396	436	662
397	436	660
398	437	659
399	438	657
400	439	655
401	439	653
402	440	652
403	440	650
404	441	648
405	442	646
406	442	645
407	443	643
408	444	642
409	444	640
410	445	638
411	446	636
412	446	635
413	447	633
414	448	631
415	448	630
416	449	628
417	450	626
418	450	625
419	451	623
420	452	621
421	452	620
422	453	618
423	454	616
424	454	615
425	455	613
